ID,Grupo de origen,Título,Autor,Empresa,Fecha,Tipo,Elemento RBPS (principal),Elementos RBPS (secundarios),Palabras clave,Descripción,Notas / advertencias
A1,Accidentes (CSB),"Investigación de explosión e incendio – Unidad de Desasfaltado con Propano (PDA), Refinería Valero McKee",U.S. Chemical Safety and Hazard Investigation Board (CSB),Valero Energy Corporation,2007,Informe de Incidente,Gestión del Cambio (MOC),Integridad Mecánica y Confiabilidad de Activos; Identificación de Peligros y Análisis de Riesgo (HIRA),"dead-leg, freeze protection, ROSOV, fireproofing, chlorine release, propano","Investigación de una fuga y posterior incendio en un tramo de tubería sin uso regular (""dead-leg"") de la unidad PDA, agravada por congelamiento invernal, ausencia de válvulas de cierre remoto (ROSOV) y protección contra incendio deficiente en el equipo afectado.","Año tomado de la fuente original. Verificar fecha exacta (día/mes) contra el informe CSB si se requiere precisión."
A2,Accidentes (CSB),"Investigación de incendio – Unidad de Destilación de Crudo, Refinería Chevron Richmond",U.S. Chemical Safety and Hazard Investigation Board (CSB),Chevron Corporation,2012,Informe de Incidente,Integridad Mecánica y Confiabilidad de Activos,Identificación de Peligros y Análisis de Riesgo (HIRA); Cultura de Seguridad de Procesos,"mechanical integrity, corrosion, RBI, safety culture","Falla por corrosión acelerada (sulfidación) en tuberías de acero al carbono de la unidad de crudo, no detectada a tiempo por un programa de inspección basado en riesgo (RBI) insuficiente, en un contexto de decisiones operativas que priorizaron la continuidad de producción.","Año tomado de la fuente original. Verificar fecha exacta contra el informe CSB si se requiere precisión."
A3,Accidentes (CSB),"Investigación de fatalidades por fragilización por hidrógeno – Unidad de Hidrotratamiento de Nafta, Refinería Tesoro Anacortes",U.S. Chemical Safety and Hazard Investigation Board (CSB),Tesoro Refining and Marketing Company,2010,Informe de Incidente,Integridad Mecánica y Confiabilidad de Activos,Identificación de Peligros y Análisis de Riesgo (HIRA); Cultura de Seguridad de Procesos,"HTHA, mechanical integrity, inspection program, safety culture","Ruptura catastrófica de un intercambiador de calor por ataque de hidrógeno a alta temperatura (HTHA), mecanismo de daño conocido pero no cubierto adecuadamente por el programa de inspección de la planta.","Año tomado de la fuente original. Verificar fecha exacta contra el informe CSB si se requiere precisión."
A4,Accidentes (CSB),"Investigación de explosión – Precipitador Electrostático, Unidad FCC, Refinería ExxonMobil Torrance",U.S. Chemical Safety and Hazard Investigation Board (CSB),ExxonMobil Corporation,2015,Informe de Incidente,Procedimientos Operativos,Gestión del Cambio (MOC); Identificación de Peligros y Análisis de Riesgo (HIRA),"safe operating limits, ESP explosion, procedure variance, safeguard failure, HF alkylation","Explosión en el precipitador electrostático de la unidad FCC tras la reutilización de un procedimiento de arranque sin análisis de riesgo adecuado, con operación fuera de los límites seguros y fallas de válvulas de catalizador.","Año tomado de la fuente original. Verificar fecha exacta contra el informe CSB si se requiere precisión."
A5,Accidentes (CSB),"Investigación de explosión – Unidad de Alquilación con Ácido Fluorhídrico, Refinería PES Philadelphia",U.S. Chemical Safety and Hazard Investigation Board (CSB),Philadelphia Energy Solutions (PES),2019,Informe de Incidente,Integridad Mecánica y Confiabilidad de Activos,Gestión del Cambio (MOC); Identificación de Peligros y Análisis de Riesgo (HIRA),"HF corrosion, mechanical integrity, ROSOV, safeguard reliability, inherently safer design","Corrosión acelerada en tubería con alto contenido de níquel/cobre de la unidad de alquilación con HF, sin aislamiento remoto disponible y con fallas en el sistema de mitigación por agua, derivando en liberación mayor de ácido fluorhídrico.","Año tomado de la fuente original. Verificar fecha exacta contra el informe CSB si se requiere precisión."
A6,Accidentes (CSB),"Investigación de explosión – Unidad de Craqueo Catalítico (FCC), Refinería Husky Superior",U.S. Chemical Safety and Hazard Investigation Board (CSB),Husky Energy,2018,Informe de Incidente,Procedimientos Operativos,Integridad Mecánica y Confiabilidad de Activos; Identificación de Peligros y Análisis de Riesgo (HIRA),"FCC explosion, transient operations, SCSV failure, hydrocarbon detection, community impact","Explosión durante una parada de planta por mezcla de aire e hidrocarburos en la unidad FCC, originada en la falla de una válvula de catalizador (SCSV) durante una operación transitoria, con salvaguardas de confiabilidad no verificada.","Año tomado de la fuente original. Verificar fecha exacta contra el informe CSB si se requiere precisión."
P1,Procedimientos/Normas,Gestión de Alarmas y su Relación con el Ciclo de Vida de Seguridad Instrumentada (ISA 18.2),exida,exida,2016,Norma,Identificación de Peligros y Análisis de Riesgo (HIRA),Procedimientos Operativos; Entrenamiento y Aseguramiento del Desempeño,"Alarm Management, ISA 18.2, SIS","Documento técnico que vincula las buenas prácticas de gestión de alarmas (ISA 18.2) con el ciclo de vida de los sistemas instrumentados de seguridad (SIS): diseño, racionalización, mantenimiento y desempeño de alarmas de proceso.","*Fecha aproximada (2ª edición de ISA-18.2). Verificar edición exacta utilizada."
P2,Procedimientos/Normas,Gestión de Crisis Organizacionales (BS 11200),British Standards Institution (BSI),British Standards Institution (BSI),2014,Norma,Gestión de Emergencias,Cultura de Seguridad de Procesos; Investigación de Incidentes,"Crisis Management, BS 11200","Guía de buenas prácticas para el diseño, implementación y prueba de planes de gestión de crisis organizacionales, usada como marco de referencia para la preparación ante emergencias de gran escala.","*Fecha aproximada. Verificar edición exacta de BS 11200 utilizada."
P3,Procedimientos/Normas,Estándar Corporativo de Gestión del Cambio (MOC 01000),Chevron Corporation,Chevron Corporation,N/D,Procedimiento,Gestión del Cambio (MOC),Cumplimiento con Normas; Identificación de Peligros y Análisis de Riesgo (HIRA),"Management of Change, MOC 01000","Estándar corporativo que define el proceso de gestión del cambio (MOC) para modificaciones técnicas, organizacionales y de procedimientos, incluyendo evaluación de riesgo del cambio propuesto y autorización formal previa a su implementación.","Fecha del documento interno no es pública. Completar con la fecha real si se dispone de ella."
P4,Procedimientos/Normas,Requisitos y Guía Principal de Respuesta y Preparación ante Emergencias (OSHA 3122),Occupational Safety and Health Administration (OSHA),OSHA – U.S. Department of Labor,2004,Norma,Gestión de Emergencias,Entrenamiento y Aseguramiento del Desempeño; Cumplimiento con Normas,"Emergency Response, OSHA 3122","Publicación de OSHA que resume los requisitos normativos y buenas prácticas de preparación y respuesta ante emergencias aplicables a instalaciones que manejan sustancias peligrosas.","Fecha verificada: OSHA 3122-06R, 2004."
